# id	left	top	right	bottom	texture_id
[SPRITES]
#####  BIG ###############
#run leg
21001	256	1533	275	1552	50
21002	281	1534	307	1551	50
21003	311	1534	340	1549	50
21004	346	1533	363	1552	50
21005	367	1533	381	1552	50
21006	386	1533	400	1552	50
21007	404	1533	424	1552	50
21008	428	1533	452	1552	50
21009	457	1533	487	1548	50
21010	491	1533	510	1552	50
21011	513	1533	527	1552	50
21012	530	1533	547	1552	50
21013	551	1533	571	1552	50
21014	576	1533	599	1552	50
21015	603	1533	616	1552	50
21016	621	1533	639	1552	50
21017	644	1533	669	1552	50
21018	674	1533	689	1552	50

#idle leg
22001	130	1537	150	1552	50
22002	156	1537	175	1553	50
22003	180	1537	200	1552	50
22004	204	1537	224	1552	50
22005	229	1536	248	1552	50

#bullet
130801	5	72	11	78	60
130802	14	71	22	79	60
130803	25	70	35	80	60
130804	38	69	50	81	60
130805	53	68	67	82	60

#top pistol idle
32001	12	8	40	36	50
32002	45	8	73	36	50
32003	78	8	107	35	50
32004	112	9	142	35	50

#top pistol run
31001	14	149	44	176	50
31002	47	148	76	176	50
31003	79	148	106	175	50
31004	110	149	135	175	50
31005	139	149	167	176	50
31006	171	149	200	176	50
31007	204	149	235	177	50
31008	240	149	271	176	50
31009	274	149	305	176	50
31010	308	150	338	175	50
31011	342	150	372	176	50
31012	376	149	406	177	50

#top pistol shooting
33001	227	8	277	30	50
33002	281	8	331	30	50
33003	336	8	387	30	50
33004	393	8	429	30	50
33005	436	6	472	30	50
33006	478	6	514	30	50
33007	519	8	555	30	50
33008	560	8	593	33	50
33009	598	8	630	35	50
33010	635	7	666	33	50
33011	677	8	724	30	50
33012	729	8	779	30	50
33013	783	8	832	30	50
33014	836	8	870	30	50
33015	874	6	909	30	50
33016	913	6	949	30	50
33017	953	8	989	30	50
33018	993	9	1026	33	50
33019	1030	8	1062	34	50
33020	1066	8	1097	34	50
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
#bullet
130800	130801	100
#run leg
21000	21001	50	21002	50	21003	50	21004	50	21005	50	21006	50	21007	50	21008	50	21009	50	21010	50	21011	50	21012	50	21013	50	21014	50	21015	50	21016	50	21017	50	21018	50
#leg idle
22000	22001	200	22002	200	22003	200	22004	200	22005	200
#top pistol idle
32000	32001	200	32002	200	32003	200	32004	200
#top pistol run
31000	31001	50	31002	50	31003	50	31004	50	31005	50	31006	50	31007	50	31008	50	31009	50	31010	50	31011	50	31012	50
#top pistol shoot
33000	33001	50	33002	50	33003	50	33004	50	33005	50	33006	50	33007	50	33008	50	33009	50	33010	50	33011	50	33012	50	33013	50	33014	50	33015	50	33016	50	33017	50	33018	50	33019	50	33020	50


