# id	left	top	right	bottom	texture_id
[SPRITES]
#####  LOCUST ###############
#flying
88001	22	39	93	87	88
88002	107	36	178	87	88
88003	196	32	268	87	88
88004	283	29	351	87	88
88005	362	28	430	87	88
88006	444	28	511	87	88
88007	523	32	590	89	88
88008	606	36	673	92	88
88009	686	40	757	92	88
88010	769	43	843	92	88
88011	17	113	90	162	88
88012	100	133	172	159	88
88013	186	113	258	159	88
88014	271	114	341	159	88
88015	353	115	422	159	88
88016	434	113	506	159	88
88017	519	112	587	159	88
88018	598	116	667	159	88
88019	678	115	747	159	88
88020	766	114	836	184	88
88021	22	184	93	232	88
88022	107	181	178	232	88
88023	196	177	265	232	88
88024	283	172	350	232	88
88025	362	176	433	232	88
88026	444	185	511	232	88
88027	523	177	590	234	88
88028	606	177	675	237	88
88029	686	173	754	237	88
88030	769	177	837	237	88
88031	21	258	88	307	88	
88032	100	253	172	304	88
88033	186	249	258	304	88
88034	271	245	341	304	88
88035	353	244	422	304	88	
88036	431	258	503	304	88
88037	517	253	587	304	88
88038	600	249	667	304	88
88039	680	245	925	304	88
88040	769	245	838	304	88

#turning
88101	27	350	95	405	88
88102	111	347	173	405	88
88103	188	346	248	405	88
88104	261	346	318	405	88
88105	338	352	400	404	88
88106	410	348	466	408	88
88107	480	352	544	412	88
88108	551	350	607	412	88
88109	618	355	673	412	88
88110	687	355	747	407	88
88111	762	350	823	403	88
88112	27	412	89	467	88
88113	103	412	170	469	88
88114	178	410	245	467	88

#preparing to attack
88200	22	525	93	573	88
88201	107	522	176	575	88
88202	196	518	262	574	88
88203	285	513	346	576	88
88204	366	514	423	577	88
88205	448	514	506	575	88
88206	529	518	585	575	88
88207	611	522	673	576	88
88208	691	526	757	575	88
88209	776	529	843	575	88
88210	21	599	90	649	88
88211	105	599	171	648	88
88212	191	599	257	646	88
88213	275	601	340	647	88
88214	354	601	421	645	88
88215	430	599	503	645	88
88216	515	598	588	645	88
88217	596	602	670	645	88
88218	677	601	750	645	88
88219	765	600	838	645	88

#attacking
88301	16	696	89	744	88
88302	16	696	89	744	88
88303	187	689	260	744	88
88304	274	685	347	744	88
88305	353	689	426	744	88
88306	437	697	510	744	88
88307	519	693	592	743	88
88308	604	689	677	742	88
88309	685	685	758	741	88
88310	770	689	843	742	88
88311	16	770	89	815	88
88312	98	765	171	815	88
88313	182	761	255	816	88
88314	264	756	337	816	88
88315	344	762	417	816	88
88316	425	770	498	816	88
88317	510	765	583	816	88
88318	591	761	664	816	88
88319	672	756	745	816	88
88320	760	761	833	816	88

#catch player
88401	26	866	92	914	88
88402	111	860	174	914	88
88403	200	856	262	914	88
88404	289	852	349	913	88
88405	366	856	424	913	88
88406	447	864	513	912	88
88407	530	860	593	914	88
88408	615	860	678	912	88
88409	698	856	760	912	88
88410	785	852	843	913	88
88411	29	928	87	985	88
88412	108	938	174	986	88
88413	193	932	256	986	88
88414	277	928	339	986	88
88415	359	924	418	985	88
88416	435	928	496	984	88
88417	520	937	589	984	88
88418	602	932	665	984	88
88419	685	928	747	984	88
88420	775	924	828	985	88


#eating

#die
88099	58	1381	105	1424	88
88098	112	1389	171	1424	88


# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
# flying
8801001	88001	100	88002	100	88003	100	88004	100	88005	100	88006	100	88007	100	88008	100	88009	100	88010	100	88011	100	88012	100	88013	100	88014	100	88015	100	88016	100	88017	100	88018	100	88019	100	88020	100	88021	100	88022	100	88023	100	88024	100	88025	100	88026	100	88027	100	88028	100	88029	100	88030	100	88031	100	88032	100	88033	100	88034	100	88035	100	88036	100	88037	100	88038	100	88039	100	88040	100
#die
8801009	88099	100	88098	100
#turning
8801002	88101	100	88102	100	88102	100	88103	100	88104	100	88105	100	88106	100	88107	100	88108	100	88109	100	88110	100	88111	100	88112	100	88113	100	88114	100
#preparing to attack
8801003	88200	100	88201	100	88202	100	88203	100	88204	100	88205	100	88206	100	88207	100	88208	100	88209	100	88210	100	88211	100	88212	100	88213	100	88214	100	88215	100	88216	88216	100	88217	100	88218	100	88219	100
#attacking
8801004	88301	100	88302	100	88303	100	88304	100	88305	100	88306	100	88307	100	88308	100	88309	100	88310	100	88311	100	88312	100	88313	100	88314	100	88315	100	88316	88316	100	88317	100	88318	100	88319	100	88320	100
#catch player
8801005	88401	100	88402	100	88403	100	88404	100	88405	100	88406	100	88407	100	88408	100	88409	100	88410	100	88411	100	88412	100	88413	100	88414	100	88415	100	88416	88416	100	88417	100	88418	100	88419	100	88420	100
